Method,MMD (vs θ_true),MMD,Training time [s],Posterior time [s],C2ST
ACE,1.03 (0.02),0.46 (0.02),-,941.51 (56.47),1.00 (0.00)
Scoring Rule,0.98 (0.01),0.41 (0.01),-,442.46 (4.45),1.00 (0.00)
