Method,MMD (vs θ_true),MMD,Training time [s],Posterior time [s],C2ST
ACE,-10.00 (0.00),-10.00 (0.00),-,1278.29 (0.00),-10.00 (0.00)
Scoring Rule,nan (nan),nan (nan),-,nan (nan),nan (nan)
